va,pa,imc_bdf,imc_vendor,imc_device,rir_entry,rir_raw,ways,way_sel,channel_guess,notes
0x0070c5a8202200,0x00000cc75e0200,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202240,0x00000cc75e0240,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202280,0x00000cc75e0280,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82022c0,0x00000cc75e02c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202300,0x00000cc75e0300,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202340,0x00000cc75e0340,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202380,0x00000cc75e0380,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82023c0,0x00000cc75e03c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202400,0x00000cc75e0400,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202440,0x00000cc75e0440,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202480,0x00000cc75e0480,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82024c0,0x00000cc75e04c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202500,0x00000cc75e0500,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202540,0x00000cc75e0540,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202580,0x00000cc75e0580,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82025c0,0x00000cc75e05c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202600,0x00000cc75e0600,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202640,0x00000cc75e0640,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202680,0x00000cc75e0680,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82026c0,0x00000cc75e06c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202700,0x00000cc75e0700,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202740,0x00000cc75e0740,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202780,0x00000cc75e0780,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82027c0,0x00000cc75e07c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202800,0x00000cc75e0800,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202840,0x00000cc75e0840,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202880,0x00000cc75e0880,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82028c0,0x00000cc75e08c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202900,0x00000cc75e0900,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202940,0x00000cc75e0940,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202980,0x00000cc75e0980,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a82029c0,0x00000cc75e09c0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202a00,0x00000cc75e0a00,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202a40,0x00000cc75e0a40,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202a80,0x00000cc75e0a80,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202ac0,0x00000cc75e0ac0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202b00,0x00000cc75e0b00,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202b40,0x00000cc75e0b40,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202b80,0x00000cc75e0b80,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202bc0,0x00000cc75e0bc0,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202c00,0x00000cc75e0c00,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
0x0070c5a8202c40,0x00000cc75e0c40,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,1,1,
0x0070c5a8202c80,0x00000cc75e0c80,0000:ae:0c.0,0x8086,0x2040,0,0x9000007e,2,0,0,
